#tool_version=4.0.4	database_version=4.0	min_alignment_length=75	min_mgcs=3	count_mode=INSERT_SCALED	value_type=relative_abundances
mOTU	Taxonomy	/home/projects/22126_NGS/projects/group15/data/motus_out/SRR4074278_trimmed_nonhuman.motus.name	/home/projects/22126_NGS/projects/group15/data/motus_out/SRR4074296_trimmed_nonhuman.motus.name	/home/projects/22126_NGS/projects/group15/data/motus_out/SRR4074305_trimmed_nonhuman.motus.name	/home/projects/22126_NGS/projects/group15/data/motus_out/SRR4074314_trimmed_nonhuman.motus.name	/home/projects/22126_NGS/projects/group15/data/motus_out/SRR4074323_trimmed_nonhuman.motus.name	/home/projects/22126_NGS/projects/group15/data/motus_out/SRR4074332_trimmed_nonhuman.motus.name	/home/projects/22126_NGS/projects/group15/data/motus_out/SRR4074350_trimmed_nonhuman.motus.name	/home/projects/22126_NGS/projects/group15/data/motus_out/SRR4074353_trimmed_nonhuman.motus.name	/home/projects/22126_NGS/projects/group15/data/motus_out/SRR4074354_trimmed_nonhuman.motus.name	/home/projects/22126_NGS/projects/group15/data/motus_out/SRR4074355_trimmed_nonhuman.motus.name	/home/projects/22126_NGS/projects/group15/data/motus_out/SRR4074356_trimmed_nonhuman.motus.name	/home/projects/22126_NGS/projects/group15/data/motus_out/SRR4074357_trimmed_nonhuman.motus.name
mOTUv4.0_000060	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Hominenteromicrobium;s__Hominenteromicrobium mulieris	0.00009116	0.00107901	0.00018631	0.00119019	0.00067123	0.00055931	0.00063644	0.00077163	0.00297866	0.00000000	0.00119649	0.00037293
mOTUv4.0_000061	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Slackia;s__Slackia isoflavoniconvertens	0.00000000	0.00063809	0.00035196	0.00000000	0.00000000	0.00000000	0.00028890	0.00195632	0.00122477	0.00000000	0.00000000	0.00016506
mOTUv4.0_000062	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Ellagibacter;s__Ellagibacter isourolithinifaciens	0.00061973	0.00000000	0.00000000	0.00032733	0.00000000	0.00067345	0.00070288	0.00028949	0.00120144	0.00000000	0.00393705	0.00020869
mOTUv4.0_000063	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	0.00024930	0.00005059	0.00019679	0.00010935	0.00683245	0.00000000	0.00010327	0.00004836	0.00000000	0.00469777	0.00026245	0.00000000
mOTUv4.0_000067	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Unknown Fusobacterium mOTUv4.0_000067	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00006222	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
mOTUv4.0_000070	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Anaerotardibacter;s__Anaerotardibacter sp000436075	0.00053703	0.00000000	0.00018961	0.00000000	0.00000000	0.00038209	0.00029730	0.00201173	0.00008962	0.00000000	0.00247038	0.00000000
mOTUv4.0_000072	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger sp900540595	0.00028536	0.00080038	0.00000000	0.00038356	0.00000000	0.00000000	0.00185046	0.00438544	0.00019664	0.00000000	0.00009211	0.00000000
mOTUv4.0_000073	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA738;s__UBA738 sp003522945	0.00000000	0.01466260	0.00082014	0.00000000	0.00000000	0.00000000	0.00000000	0.00100707	0.00326049	0.00000000	0.00000000	0.00172519
mOTUv4.0_000074	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella rogosae	0.00000000	0.00000000	0.00000000	0.00000000	0.00032126	0.00013491	0.00076283	0.00000000	0.00000000	0.00080535	0.00133237	0.00000000
mOTUv4.0_000076	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__Ruminococcus_C sp000433635	0.00208542	0.00000000	0.00195769	0.00017899	0.00083516	0.00000000	0.00000000	0.00000000	0.00051410	0.00000000	0.00247864	0.00000000
mOTUv4.0_000079	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Hominicoprocola;s__Hominicoprocola sp900317525	0.00022335	0.00000000	0.00052918	0.00148995	0.00000000	0.00000000	0.00364032	0.00074224	0.01100104	0.00000000	0.00067916	0.00284320
